droplet_id,track_length,dt,fps,track_length_frames,track_length_seconds,mean_speed,rms_speed,median_speed,speed_std,speed_cv,max_speed,msd_lag_fraction,msd_fit_fraction,msd_max_lag_frames,msd_max_lag_seconds,msd_fit_frames,msd_fit_seconds,alpha_fit_start_frame,alpha_fit_end_frame,alpha_fit_start_seconds,alpha_fit_end_seconds,alpha,alpha_error,alpha_r2,tau_p,tau_p_error,tau_p_r2,vacf_fit_fraction,vacf_total_frames,vacf_total_seconds,vacf_fit_frames,vacf_fit_seconds,tau_p_fit_start_frame,tau_p_fit_end_frame,tau_p_fit_start_seconds,tau_p_fit_end_seconds,tau_r,tau_r_error,tau_r_r2,orient_fit_fraction,orient_total_frames,orient_total_seconds,orient_fit_frames,orient_fit_seconds,tau_r_fit_start_frame,tau_r_fit_end_frame,tau_r_fit_start_seconds,tau_r_fit_end_seconds,psd_fmin,psd_fmax,psd_bandwidth,psd_points_total,psd_points_fit_x,psd_points_fit_y,beta_x,beta_y,beta_x_error,beta_y_error,beta_x_r2,beta_y_r2,beta_fit_fmin,beta_fit_fmax,n_positions,n_velocity_points,valid_for_msd,valid_for_vacf,valid_for_orientation,valid_for_psd
2,3648,0.2,5.0,3648,729.6,0.9609021558959143,1.2439110443383277,0.790512151377769,0.7900334641476818,0.822178886060548,22.92045510472363,0.4,0.3,1458,291.6,437,87.4,1,437,0.2,87.4,1.8127344794966604,0.0027968777753173517,0.9989655289426274,4973807083.723331,999334723659564.4,-2.4770522522032934e-08,0.8472717301891965,3647,729.4000000000001,3090,618.0,0,3089,0.0,617.8000000000001,27.480691121376644,0.6579563256563508,0.3423956899552415,0.3164244584590074,3647,729.4000000000001,1154,230.8,0,1153,0.0,230.60000000000002,0.1,2.0,1.9,129,97,97,0.7111636825166279,0.8772214523915179,0.048069016787317176,0.04848353119898355,0.6973378165565206,0.7750751589306479,0.1171875,1.9921875,3648,3647,True,True,True,True
3,3648,0.2,5.0,3648,729.6,0.9185243241502189,1.1789355912807364,0.7971752783736831,0.7391562777542152,0.8047215063553732,26.449037928484977,0.4,0.3,1458,291.6,437,87.4,1,437,0.2,87.4,1.8379746797875083,0.0013006600020472468,0.999782207368591,81.85604620836467,0.7378112659326904,0.9496341228727925,0.26240745818480943,3647,729.4000000000001,957,191.4,0,956,0.0,191.20000000000002,48.23290941566074,0.4419613312543774,0.8677800808354281,0.24102001645187826,3647,729.4000000000001,879,175.8,0,878,0.0,175.60000000000002,0.1,2.0,1.9,129,97,97,0.9077045158003482,0.600543480601898,0.04167436586765713,0.0590711245105329,0.8331597299731162,0.5210647153895707,0.1171875,1.9921875,3648,3647,True,True,True,True
4,3648,0.2,5.0,3648,729.6,0.8775783350533175,1.0292065137961193,0.7939637106937355,0.5377746855149608,0.6127939399076985,7.926468461526623,0.4,0.3,1458,291.6,437,87.4,1,437,0.2,87.4,1.8305389385027915,0.00281743095862245,0.998970584793662,36.99530202306478,0.31103093079255556,0.9799412242210905,0.13984096517685768,3647,729.4000000000001,510,102.0,0,509,0.0,101.80000000000001,28.751129285794097,0.2429868937722252,0.9535545323812655,0.13874417329311764,3647,729.4000000000001,506,101.2,0,505,0.0,101.0,0.1,2.0,1.9,129,97,97,0.5595460544214094,0.6108758243268523,0.05833323621116998,0.06053117640469893,0.4920083665283774,0.5173913385694295,0.1171875,1.9921875,3648,3647,True,True,True,True
6,3648,0.2,5.0,3648,729.6,1.0169299866628123,1.228619429357167,0.8640967270902997,0.6895574542206416,0.6780776093381944,6.345355150936269,0.4,0.3,1458,291.6,437,87.4,1,437,0.2,87.4,1.8551164191367047,0.001051423102305678,0.9998602855686233,120.65860917868055,1.394828911320652,0.8849360324205457,0.3400054839594187,3647,729.4000000000001,1240,248.0,0,1239,0.0,247.8,67.83705715988489,0.8395929649413248,0.5228388710730449,0.34850562105840416,3647,729.4000000000001,1271,254.20000000000002,0,1270,0.0,254.0,0.1,2.0,1.9,129,97,97,0.5988049029815418,0.6178269165093012,0.05927954218981601,0.06520024568670986,0.5178589678353459,0.48590706625663416,0.1171875,1.9921875,3648,3647,True,True,True,True
