girdroplet_id,track_length,dt,fps,track_length_frames,track_length_seconds,mean_speed,rms_speed,median_speed,speed_std,speed_cv,max_speed,msd_lag_fraction,msd_fit_fraction,msd_max_lag_frames,msd_max_lag_seconds,msd_fit_frames,msd_fit_seconds,alpha_fit_start_frame,alpha_fit_end_frame,alpha_fit_start_seconds,alpha_fit_end_seconds,alpha,alpha_error,alpha_r2,tau_p,tau_p_error,tau_p_r2,vacf_fit_fraction,vacf_total_frames,vacf_total_seconds,vacf_fit_frames,vacf_fit_seconds,tau_p_fit_start_frame,tau_p_fit_end_frame,tau_p_fit_start_seconds,tau_p_fit_end_seconds,tau_r,tau_r_error,tau_r_r2,orient_fit_fraction,orient_total_frames,orient_total_seconds,orient_fit_frames,orient_fit_seconds,tau_r_fit_start_frame,tau_r_fit_end_frame,tau_r_fit_start_seconds,tau_r_fit_end_seconds,psd_fmin,psd_fmax,psd_bandwidth,psd_points_total,psd_points_fit_x,psd_points_fit_y,beta_x,beta_y,beta_x_error,beta_y_error,beta_x_r2,beta_y_r2,beta_fit_fmin,beta_fit_fmax,n_positions,n_velocity_points,valid_for_msd,valid_for_vacf,valid_for_orientation,valid_for_psd
2,5267,0.2,5.0,5267,1053.4,1.0977445961557277,1.3514323946181583,0.919359208222791,0.7883174040518847,0.7181246045870334,11.812117173543864,0.4,0.3,2106,421.20000000000005,631,126.2,1,631,0.2,126.2,1.6627430582302125,0.006265660165603826,0.9911473709953195,24.389328293424043,0.1476634275656528,0.9920253233088456,0.075579187238891,5266,1053.2,398,79.60000000000001,0,397,0.0,79.4,34.73488625969136,0.36682007803892624,0.9057674258969487,0.0846942650968477,5266,1053.2,446,89.2,0,445,0.0,89.0,0.1,2.0,1.9,129,97,97,0.5781272072381551,0.45011767821083215,0.02699607812225795,0.03596179873327553,0.8283996896583914,0.6225126197127762,0.1171875,1.9921875,5267,5266,True,True,True,True
4,5267,0.2,5.0,5267,1053.4,0.994090249882115,1.1550050088204826,0.9028940682791149,0.5881214402810871,0.5916177533688013,7.572922281442705,0.4,0.3,2106,421.20000000000005,631,126.2,1,631,0.2,126.2,1.738853391129901,0.0035596247300875745,0.9973710042684597,37.595559806637276,0.34607222714017744,0.9731247645582004,0.1129889859475883,5266,1053.2,595,119.0,0,594,0.0,118.80000000000001,27.4648709561896,0.36830117627331965,0.8370640803000113,0.1131788834029624,5266,1053.2,596,119.2,0,595,0.0,119.0,0.1,2.0,1.9,129,97,97,0.07889130311513465,0.13202951935088741,0.029310276442212124,0.02891010023619394,0.07085618497008372,0.1800206072714423,0.1171875,1.9921875,5267,5266,True,True,True,True
6,5267,0.2,5.0,5267,1053.4,1.1845954621195733,1.4098935520556823,1.007193553575254,0.7646204560078745,0.6454696818099862,13.965605619128848,0.4,0.3,2106,421.20000000000005,631,126.2,1,631,0.2,126.2,1.7144996731788629,0.004656328288583452,0.9953820119531576,28.72015812030006,0.31791886549483755,0.9643699003273963,0.10691226737561717,5266,1053.2,563,112.60000000000001,0,562,0.0,112.4,35.410735613676614,0.3227510580346772,0.9196857758263491,0.11014052411697683,5266,1053.2,580,116.0,0,579,0.0,115.80000000000001,0.1,2.0,1.9,129,97,97,0.3491053681405943,0.339431936256454,0.028007554015175837,0.03066343602582072,0.6205591419291614,0.563290711395678,0.1171875,1.9921875,5267,5266,True,True,True,True
