droplet_id,track_length,dt,fps,track_length_frames,track_length_seconds,mean_speed,rms_speed,median_speed,speed_std,speed_cv,max_speed,msd_lag_fraction,msd_fit_fraction,msd_max_lag_frames,msd_max_lag_seconds,msd_fit_frames,msd_fit_seconds,alpha_fit_start_frame,alpha_fit_end_frame,alpha_fit_start_seconds,alpha_fit_end_seconds,alpha,alpha_error,alpha_r2,tau_p,tau_p_error,tau_p_r2,vacf_fit_fraction,vacf_total_frames,vacf_total_seconds,vacf_fit_frames,vacf_fit_seconds,tau_p_fit_start_frame,tau_p_fit_end_frame,tau_p_fit_start_seconds,tau_p_fit_end_seconds,tau_r,tau_r_error,tau_r_r2,orient_fit_fraction,orient_total_frames,orient_total_seconds,orient_fit_frames,orient_fit_seconds,tau_r_fit_start_frame,tau_r_fit_end_frame,tau_r_fit_start_seconds,tau_r_fit_end_seconds,psd_fmin,psd_fmax,psd_bandwidth,psd_points_total,psd_points_fit_x,psd_points_fit_y,beta_x,beta_y,beta_x_error,beta_y_error,beta_x_r2,beta_y_r2,beta_fit_fmin,beta_fit_fmax,n_positions,n_velocity_points,valid_for_msd,valid_for_vacf,valid_for_orientation,valid_for_psd
1,5526,0.2,5.0,5526,1105.2,0.8832606222680836,1.0157434926499822,0.8077978430272368,0.5016284083808027,0.5679279656922717,5.750444058229362,0.4,0.3,2210,442.0,663,132.6,1,663,0.2,132.6,1.5759281332089696,0.006722572481679682,0.98811478542055,14.709865240843198,0.22161434320982298,0.9756436959168501,0.034389140271493215,5525,1105.0,190,38.0,0,189,0.0,37.800000000000004,14.185746775461372,0.17515955704754918,0.9655010541182388,0.034389140271493215,5525,1105.0,190,38.0,0,189,0.0,37.800000000000004,0.1,2.0,1.9,129,97,97,0.5704754060853638,0.5425628818659032,0.050124741023085555,0.05007937724136582,0.5768935084648397,0.5526818678906336,0.1171875,1.9921875,5526,5525,True,True,True,True
2,5526,0.2,5.0,5526,1105.2,0.9257204619208151,1.1135100113440577,0.83757305629507,0.6188824571889211,0.6685414038540065,5.761168906274703,0.4,0.3,2210,442.0,663,132.6,1,663,0.2,132.6,1.6941824415583024,0.004661186818285765,0.9950214078437822,26.478938166455034,0.2088536994965605,0.986936923981587,0.0660633484162896,5525,1105.0,365,73.0,0,364,0.0,72.8,19.531967456742155,0.27954122474464427,0.8793916293639334,0.06552036199095022,5525,1105.0,362,72.4,0,361,0.0,72.2,0.1,2.0,1.9,129,97,97,0.5447643145289418,0.5603607828637374,0.045124216204344376,0.051922633551081246,0.6053939590818465,0.5507682406708304,0.1171875,1.9921875,5526,5525,True,True,True,True
7,5526,0.2,5.0,5526,1105.2,0.6454807285856334,0.8994298649045146,0.4512578100049696,0.6264181778037011,0.9704676686108014,7.796072349355067,0.4,0.3,2210,442.0,663,132.6,1,663,0.2,132.6,1.4221917356915676,0.008173992448072109,0.9786315589398404,9.768080142833178,0.21524974913055014,0.9626798857176444,0.026063348416289593,5525,1105.0,144,28.8,0,143,0.0,28.6,4.424909625952053,0.23881066330916373,0.27101131436219905,0.025339366515837104,5525,1105.0,140,28.0,0,139,0.0,27.8,0.1,2.0,1.9,129,97,97,0.6477424072913454,0.7333573025637596,0.036601592720128466,0.03486130998395152,0.7672639311900307,0.8232660530779696,0.1171875,1.9921875,5526,5525,True,True,True,True
8,5526,0.2,5.0,5526,1105.2,0.8948082521641587,1.1040546658534371,0.7712438818159131,0.6467848274346908,0.7228194709541342,6.556953538970817,0.4,0.3,2210,442.0,663,132.6,1,663,0.2,132.6,1.3841711424546739,0.010407665323637119,0.9639757759400791,10.426292796335696,0.15251732149804884,0.9831106491781582,0.023891402714932126,5525,1105.0,132,26.400000000000002,0,131,0.0,26.200000000000003,8.86703253451761,0.18336436702311326,0.9169966081465466,0.022805429864253393,5525,1105.0,126,25.200000000000003,0,125,0.0,25.0,0.1,2.0,1.9,129,97,97,0.6534881522813933,0.7284199292860248,0.0430463808326276,0.04676313695070926,0.7081085879335121,0.7186324244854119,0.1171875,1.9921875,5526,5525,True,True,True,True
