droplet_id,track_length,dt,fps,track_length_frames,track_length_seconds,mean_speed,rms_speed,median_speed,speed_std,speed_cv,max_speed,msd_lag_fraction,msd_fit_fraction,msd_max_lag_frames,msd_max_lag_seconds,msd_fit_frames,msd_fit_seconds,alpha_fit_start_frame,alpha_fit_end_frame,alpha_fit_start_seconds,alpha_fit_end_seconds,alpha,alpha_error,alpha_r2,tau_p,tau_p_error,tau_p_r2,vacf_fit_fraction,vacf_total_frames,vacf_total_seconds,vacf_fit_frames,vacf_fit_seconds,tau_p_fit_start_frame,tau_p_fit_end_frame,tau_p_fit_start_seconds,tau_p_fit_end_seconds,tau_r,tau_r_error,tau_r_r2,orient_fit_fraction,orient_total_frames,orient_total_seconds,orient_fit_frames,orient_fit_seconds,tau_r_fit_start_frame,tau_r_fit_end_frame,tau_r_fit_start_seconds,tau_r_fit_end_seconds,psd_fmin,psd_fmax,psd_bandwidth,psd_points_total,psd_points_fit_x,psd_points_fit_y,beta_x,beta_y,beta_x_error,beta_y_error,beta_x_r2,beta_y_r2,beta_fit_fmin,beta_fit_fmax,n_positions,n_velocity_points,valid_for_msd,valid_for_vacf,valid_for_orientation,valid_for_psd
0,1000,0.2,5.0,1000,200.0,0.04398189281300157,0.04939282874215912,0.041597041539542585,0.0224889059958002,0.5113219226697813,0.1322321186578323,0.4,0.3,399,79.80000000000001,119,23.8,1,119,0.2,23.8,1.5949951926747465,0.004667705636902051,0.9989989884849872,5.040502839006497,0.609376450877337,0.5725062505091318,0.08008008008008008,999,199.8,80,16.0,0,79,0.0,15.8,0.3880686045257081,0.06468052767916682,0.05100112622858177,0.07307307307307308,999,199.8,73,14.600000000000001,0,72,0.0,14.4,0.1,2.0,1.9,129,97,97,0.1870417291185153,0.009242573386451042,0.06084169156661639,0.06659884475979441,0.09048199217775976,0.0002026939473321887,0.1171875,1.9921875,1000,999,True,True,True,True
1,1000,0.2,5.0,1000,200.0,0.044727780648358514,0.05030998535023931,0.04109931277498523,0.023044562214212177,0.5152181011480144,0.1199826358217384,0.4,0.3,399,79.80000000000001,119,23.8,1,119,0.2,23.8,1.4257404090022632,0.018297493945088623,0.9810940369587546,2.7006513718142915,0.3920852972085708,0.6487951325311563,0.043043043043043044,999,199.8,43,8.6,0,42,0.0,8.4,0.4172441580258078,0.0772336290112181,0.2455792215170991,0.04004004004004004,999,199.8,40,8.0,0,39,0.0,7.800000000000001,0.1,2.0,1.9,129,97,97,0.3630218058687933,0.08661160298514917,0.07051599131634188,0.059923934070053954,0.21812439994218058,0.021516974668591704,0.1171875,1.9921875,1000,999,True,True,True,True
2,1000,0.2,5.0,1000,200.0,0.04328725879438771,0.04886584589368767,0.04078637823148522,0.022684779816498305,0.5240521217628924,0.11942586743775961,0.4,0.3,399,79.80000000000001,119,23.8,1,119,0.2,23.8,1.5537552604611413,0.007220163888186356,0.9974798934731854,3.6470575942536874,0.5726377895413594,0.5413201250623023,0.05205205205205205,999,199.8,52,10.4,0,51,0.0,10.200000000000001,0.1819115148909533,0.04363307823453753,0.32871552889132616,0.05405405405405406,999,199.8,54,10.8,0,53,0.0,10.600000000000001,0.1,2.0,1.9,129,97,97,0.059045418442058184,-0.00906478031488292,0.06531907648350867,0.05874153873108711,0.00852803883429687,0.00025060600528648,0.1171875,1.9921875,1000,999,True,True,True,True
3,1000,0.2,5.0,1000,200.0,0.04319124876496022,0.048733173845893894,0.04093979322871769,0.022582044247565804,0.522838419663521,0.13228135971627905,0.4,0.3,399,79.80000000000001,119,23.8,1,119,0.2,23.8,1.4253502206956261,0.013460834675202194,0.989672900857378,1.9021249550901727,0.2647289186788766,0.7130323828834477,0.043043043043043044,999,199.8,43,8.6,0,42,0.0,8.4,0.286874926303218,0.058254137479763976,0.42569368755795167,0.037037037037037035,999,199.8,37,7.4,0,36,0.0,7.2,0.1,2.0,1.9,129,97,97,0.2796670656725786,0.24382887017078014,0.07006585563859222,0.055873587591625765,0.1436193713073557,0.16698784815480228,0.1171875,1.9921875,1000,999,True,True,True,True
4,1000,0.2,5.0,1000,200.0,0.044206732464406186,0.05007815868132585,0.04158654935439968,0.023540209810164154,0.5325028224856465,0.13587580796068893,0.4,0.3,399,79.80000000000001,119,23.8,1,119,0.2,23.8,1.5398423665383087,0.006606228514605024,0.9978511491176225,3.3551810594404685,0.345130760818013,0.6914946363288773,0.0890890890890891,999,199.8,89,17.8,0,88,0.0,17.6,0.2818159619340943,0.05381824841344766,0.25467564085305017,0.06006006006006006,999,199.8,60,12.0,0,59,0.0,11.8,0.1,2.0,1.9,129,97,97,0.3137244294778666,0.1729574606498535,0.06919574788907627,0.06910433324689959,0.17788752547681697,0.061860290147839336,0.1171875,1.9921875,1000,999,True,True,True,True
5,1000,0.2,5.0,1000,200.0,0.04414205959502918,0.04971667665293535,0.04085581635333098,0.02288560218092731,0.5184534294703468,0.12995182958475832,0.4,0.3,399,79.80000000000001,119,23.8,1,119,0.2,23.8,1.5897679189471206,0.007097478405093441,0.9976734361664178,4.192737073663818,0.4652549431997567,0.6592571200607018,0.07407407407407407,999,199.8,74,14.8,0,73,0.0,14.600000000000001,0.37065916976122765,0.06509870774146066,0.09239452266505843,0.07507507507507508,999,199.8,75,15.0,0,74,0.0,14.8,0.1,2.0,1.9,129,97,97,0.13143981370942315,-0.044992102325456224,0.05547486936124367,0.05614929129323022,0.055796055617365115,0.00671328426673623,0.1171875,1.9921875,1000,999,True,True,True,True
