droplet_id,track_length,dt,fps,track_length_frames,track_length_seconds,mean_speed,rms_speed,median_speed,speed_std,speed_cv,max_speed,msd_lag_fraction,msd_fit_fraction,msd_max_lag_frames,msd_max_lag_seconds,msd_fit_frames,msd_fit_seconds,alpha_fit_start_frame,alpha_fit_end_frame,alpha_fit_start_seconds,alpha_fit_end_seconds,alpha,alpha_error,alpha_r2,tau_p,tau_p_error,tau_p_r2,vacf_fit_fraction,vacf_total_frames,vacf_total_seconds,vacf_fit_frames,vacf_fit_seconds,tau_p_fit_start_frame,tau_p_fit_end_frame,tau_p_fit_start_seconds,tau_p_fit_end_seconds,tau_r,tau_r_error,tau_r_r2,orient_fit_fraction,orient_total_frames,orient_total_seconds,orient_fit_frames,orient_fit_seconds,tau_r_fit_start_frame,tau_r_fit_end_frame,tau_r_fit_start_seconds,tau_r_fit_end_seconds,psd_fmin,psd_fmax,psd_bandwidth,psd_points_total,psd_points_fit_x,psd_points_fit_y,beta_x,beta_y,beta_x_error,beta_y_error,beta_x_r2,beta_y_r2,beta_fit_fmin,beta_fit_fmax,n_positions,n_velocity_points,valid_for_msd,valid_for_vacf,valid_for_orientation,valid_for_psd
1,3951,0.2,5.0,3951,790.2,0.9825094651081743,1.2065731430554818,0.8409447710503285,0.7004413663051958,0.7129105532108815,11.033677023355231,0.4,0.3,1580,316.0,474,94.80000000000001,1,474,0.2,94.80000000000001,1.839610315373948,0.002087361326214605,0.9993926741684447,58.064407267188805,0.41211654845983375,0.9742973404729837,0.23949367088607595,3950,790.0,946,189.20000000000002,0,945,0.0,189.0,39.673218729808404,0.3974552861674997,0.8480481863196065,0.27139240506329115,3950,790.0,1072,214.4,0,1071,0.0,214.20000000000002,0.1,2.0,1.9,129,97,97,0.4841031028479567,0.5427985179823556,0.0531784235897656,0.06104722684521133,0.46590634657052543,0.4542046932588589,0.1171875,1.9921875,3951,3950,True,True,True,True
2,3951,0.2,5.0,3951,790.2,0.8287021233532967,1.0110771405042531,0.7035378131855683,0.5793226566923628,0.6990722484795455,6.380027583742496,0.4,0.3,1580,316.0,474,94.80000000000001,1,474,0.2,94.80000000000001,1.901975671009379,0.0008772909874756653,0.9998995902675398,130.80857120294615,1.5648981995106739,0.8978293440915018,0.2686075949367089,3950,790.0,1061,212.20000000000002,0,1060,0.0,212.0,65.27683181745552,1.0099836672460887,0.10893754620428198,0.2681012658227848,3950,790.0,1059,211.8,0,1058,0.0,211.60000000000002,0.1,2.0,1.9,129,97,97,0.4978400728360319,0.5090279511224104,0.05543650770136222,0.04318031215018871,0.4591423470730519,0.593959845108591,0.1171875,1.9921875,3951,3950,True,True,True,True
5,3951,0.2,5.0,3951,790.2,0.9471266948045144,1.2069896246438339,0.7525284114001971,0.7482758375473488,0.7900483025682133,5.9371232930996225,0.4,0.3,1580,316.0,474,94.80000000000001,1,474,0.2,94.80000000000001,1.9260575648986007,0.0008515599805265277,0.9999077441549115,256.11907583167726,2.668788469121645,0.872197373824852,0.45367088607594935,3950,790.0,1792,358.40000000000003,0,1791,0.0,358.20000000000005,173.73815787709262,1.5266554338482725,0.6184526128282695,0.5050632911392405,3950,790.0,1995,399.0,0,1994,0.0,398.8,0.1,2.0,1.9,129,97,97,0.6441223248953716,0.6578010043224876,0.06488324742445974,0.07025951305560858,0.5091793417293213,0.47989499534958036,0.1171875,1.9921875,3951,3950,True,True,True,True
6,3951,0.2,5.0,3951,790.2,0.8407347689671295,1.053033365006007,0.727901779929392,0.6341499232920279,0.7542805968059368,17.29778777619905,0.4,0.3,1580,316.0,474,94.80000000000001,1,474,0.2,94.80000000000001,1.903695523999655,0.0012385006830077528,0.9998002656457933,262.58097352225667,2.1253316484693294,0.8909896971917588,0.609873417721519,3950,790.0,2409,481.8,0,2408,0.0,481.6,139.49272283030626,1.5521955017700082,-0.3425006252000178,0.6359493670886076,3950,790.0,2512,502.40000000000003,0,2511,0.0,502.20000000000005,0.1,2.0,1.9,129,97,97,0.7681768769198177,0.5323670140857037,0.05106197199296771,0.06768839640765843,0.7043466691482221,0.39435555280626555,0.1171875,1.9921875,3951,3950,True,True,True,True
7,3951,0.2,5.0,3951,790.2,0.7232108853626639,0.8870974613070491,0.6217474257072493,0.5137847313817794,0.7104217342139908,4.425322247312259,0.4,0.3,1580,316.0,474,94.80000000000001,1,474,0.2,94.80000000000001,1.8662319010409876,0.0021613760237526995,0.9993673018340344,284.0082930326662,6.5470437628320735,0.4453565845322469,0.6154430379746836,3950,790.0,2431,486.20000000000005,0,2430,0.0,486.0,32.988185669700655,0.7628258763278445,-0.5354458423266102,0.6240506329113924,3950,790.0,2465,493.0,0,2464,0.0,492.8,0.1,2.0,1.9,129,97,97,0.43578999112188016,0.4942493919648893,0.07277787450276695,0.05777922100955653,0.27400834559476006,0.43510441946760015,0.1171875,1.9921875,3951,3950,True,True,True,True
8,3951,0.2,5.0,3951,790.2,0.832354242926398,1.0099776113400138,0.7258539877112836,0.5721224139467532,0.6873544753436716,7.180686350144166,0.4,0.3,1580,316.0,474,94.80000000000001,1,474,0.2,94.80000000000001,1.7902716496022397,0.0040941505785671,0.9975375862843745,29.715383583913322,0.5293618706388818,0.9374033769210697,0.08886075949367088,3950,790.0,351,70.2,0,350,0.0,70.0,20.621055202905083,0.39226027430981303,0.7734492517536681,0.09164556962025316,3950,790.0,362,72.4,0,361,0.0,72.2,0.1,2.0,1.9,129,97,97,0.543195598632684,0.4864211965630174,0.052271922772881216,0.06163720135976925,0.5319920594432805,0.39597648810404873,0.1171875,1.9921875,3951,3950,True,True,True,True
